product_id,product_name,category,affiliate_url,source_file,used_pages,duplicate_count,is_affiliate,site,status,notes
harim-chicken-protein-savory-240,하림 닭가슴살 프로틴 (고소한맛),drink,https://link.coupang.com/a/e8MEah671E,app/data/drinkProductsData.json,/drinks | /product/harim-chicken-protein-savory-240 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
labnosh-protein-max-choco-400,랩노쉬 프로틴 드링크 맥스 (초코),drink,https://link.coupang.com/a/e8MFh5asjA,app/data/drinkProductsData.json,/drinks | /product/labnosh-protein-max-choco-400 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
labnosh-protein-max-strawberry-400,랩노쉬 프로틴 드링크 맥스 (딸기),drink,https://link.coupang.com/a/e8MF9zHF5o,app/data/drinkProductsData.json,/drinks | /product/labnosh-protein-max-strawberry-400 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
newcare-all-protein-choco-245,뉴케어 올프로틴 (초콜릿),drink,https://link.coupang.com/a/e8MJ6pkgtV,app/data/drinkProductsData.json,/drinks | /product/newcare-all-protein-choco-245 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
newcare-all-protein-banana-245,뉴케어 올프로틴 (바나나),drink,https://link.coupang.com/a/e8MLDK6g1c,app/data/drinkProductsData.json,/drinks | /product/newcare-all-protein-banana-245 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
newcare-all-protein-savory-245,뉴케어 올프로틴 (고소한맛),drink,https://link.coupang.com/a/e8MPMNp7tc,app/data/drinkProductsData.json,/drinks | /product/newcare-all-protein-savory-245 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
newcare-all-protein-plant-savory-250,뉴케어 올프로틴 식물성단백질 (고소한맛),drink,https://link.coupang.com/a/e8MOjG199o,app/data/drinkProductsData.json,/drinks | /product/newcare-all-protein-plant-savory-250 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
danbaek-drink-coffee-250,더단백 더단백 드링크 (커피),drink,https://link.coupang.com/a/e8MQn8PKHA,app/data/drinkProductsData.json,/drinks | /product/danbaek-drink-coffee-250 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
oneuldanbaek-choco-latte-250,오늘단백 오늘단백 (초코라떼),drink,,app/data/drinkProductsData.json,/drinks | /product/oneuldanbaek-choco-latte-250 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable,0,FALSE,UNKNOWN,MISSING_RAW_URL,No raw Coupang URL in product data.
sellex-profit-milk-vanilla-250,셀렉스 프로핏 (밀크 바닐라),drink,https://link.coupang.com/a/e8MRblZJls,app/data/drinkProductsData.json,/drinks | /product/sellex-profit-milk-vanilla-250 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
sellex-profit-mocha-chocolate-250,셀렉스 프로핏 (모카 초콜릿),drink,https://link.coupang.com/a/e8MRZ5k8bY,app/data/drinkProductsData.json,/drinks | /product/sellex-profit-mocha-chocolate-250 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
sellex-profit-banana-250,셀렉스 프로핏 (바나나),drink,https://link.coupang.com/a/e8MSIticfs,app/data/drinkProductsData.json,/drinks | /product/sellex-profit-banana-250 | /compare | ProductCard | ProductDetailPurchaseActions | CompareTable | GuideBuySection (top 4 only),0,TRUE,UNKNOWN,STATIC_AFFILIATE_LINK,Direct link.coupang.com link is used as-is; ownership/site cannot be inferred from code.
