No,slug,productName,coupangUrl,naverUrl,officialUrl
6,benof-proteinbar-chunky-choco,단백질바 (청키초콜릿),https://www.coupang.com/vp/products/8839977383?itemId=25721325963&vendorItemId=92710059425&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EB%8B%A8%EB%B0%B1%EC%A7%88%EB%B0%94+%28%EC%B2%AD%ED%82%A4%EC%B4%88%EC%BD%9C%EB%A6%BF%29&searchId=49102559642528&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyl1x47,https://search.shopping.naver.com/search/all?where=all&frm=NVSCTAB&query=%EB%B2%A0%EB%85%B8%ED%94%84+%EB%8B%A8%EB%B0%B1%EC%A7%88%EB%B0%94+%28%EC%B2%AD%ED%82%A4%EC%B4%88%EC%BD%9C%EB%A6%BF%29,https://benope.com/product/list_thumb.html?cate_no=46
7,benof-proteinbar-truffle-peanutbutter-choco,단백질바 (트러플피넛버터초콜릿),https://www.coupang.com/vp/products/8710162041?itemId=25295451016&vendorItemId=92710041721&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EB%8B%A8%EB%B0%B1%EC%A7%88%EB%B0%94+%28%ED%8A%B8%EB%9F%AC%ED%94%8C%ED%94%BC%EB%84%9B%EB%B2%84%ED%84%B0%EC%B4%88%EC%BD%9C%EB%A6%BF%29&searchId=f565f8a4657637&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyl2mif,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EB%B0%94%20(%ED%8A%B8%EB%9F%AC%ED%94%8C%ED%94%BC%EB%84%9B%EB%B2%84%ED%84%B0%EC%B4%88%EC%BD%9C%EB%A6%BF)&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EB%B0%94%20(%EC%B2%AD%ED%82%A4%EC%B4%88%EC%BD%9C%EB%A6%BF)&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
15,benof-softbar-berry-cheesecake,소프트바 (베리베리치즈케이크),https://www.coupang.com/vp/products/7576801143?itemId=19992842249&vendorItemId=90775293721&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94+%28%EB%B2%A0%EB%A6%AC%EB%B2%A0%EB%A6%AC%EC%B9%98%EC%A6%88%EC%BC%80%EC%9D%B4%ED%81%AC%29&searchId=dd78c396658663&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyl2z5v,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20(%EB%B2%A0%EB%A6%AC%EB%B2%A0%EB%A6%AC%EC%B9%98%EC%A6%88%EC%BC%80%EC%9D%B4%ED%81%AC)&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EB%B0%94%20(%ED%8A%B8%EB%9F%AC%ED%94%8C%ED%94%BC%EB%84%9B%EB%B2%84%ED%84%B0%EC%B4%88%EC%BD%9C%EB%A6%BF)&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
12,benof-softbar-black-sesame,소프트바 (흑임자),https://www.coupang.com/vp/products/7576800672?itemId=19992839998&vendorItemId=92497976269&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94+%28%ED%9D%91%EC%9E%84%EC%9E%90%29&searchId=fc2528ca667203&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyl3y67,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%ED%9D%91%EC%9E%84%EC%9E%90%2010p%20600g%201%EA%B0%9C&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%9D%91%EC%9E%84%EC%9E%90&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
11,benof-softbar-cacao,소프트바 (카카오),https://www.coupang.com/vp/products/7576797870?itemId=25505575975&vendorItemId=92497629903&q=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20(%EC%B9%B4%EC%B9%B4%EC%98%A4)&searchId=c85c214e695216&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyl49sq,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EC%B9%B4%EC%B9%B4%EC%98%A4&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%ED%9D%91%EC%9E%84%EC%9E%90%2010p%20600g%201%EA%B0%9C&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
10,benof-softbar-chocolate-caramel,소프트바 (초콜릿카라멜),https://www.coupang.com/vp/products/7576803819?itemId=25505848456&vendorItemId=92497893665&q=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20(%EC%B4%88%EC%BD%9C%EB%A6%BF%EC%B9%B4%EB%9D%BC%EB%A9%9C)&searchId=78228e25674543&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyl4j0i,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EC%B4%88%EC%BD%9C%EB%A6%BF%EC%B9%B4%EB%9D%BC%EB%A9%9C&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EC%B9%B4%EC%B9%B4%EC%98%A4&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
9,benof-softbar-cookie-cream,소프트바 (쿠키앤크림),https://www.coupang.com/vp/products/7559019605?itemId=25505945563&vendorItemId=92497989673&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94+%28%EC%BF%A0%ED%82%A4%EC%95%A4%ED%81%AC%EB%A6%BC%29&searchId=0e64e0d4870694&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyl4t8v,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EC%BF%A0%ED%82%A4%EC%95%A4%ED%81%AC%EB%A6%BC%2010%EA%B0%9C%EC%9E%85&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EC%BF%A0%ED%82%A4%EC%95%A4%ED%81%AC%EB%A6%BC&vertical=searchv,https://benope.com/product/list_thumb.html?cate_no=46
13,benof-softbar-injeolmi,소프트바 (인절미),https://www.coupang.com/vp/products/8203718616?itemId=19992835380&vendorItemId=92497971860&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94+%28%EC%9D%B8%EC%A0%88%EB%AF%B8%29&searchId=e77050ff204918&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyl55vf,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EC%9D%B8%EC%A0%88%EB%AF%B8&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EC%BF%A0%ED%82%A4%EC%95%A4%ED%81%AC%EB%A6%BC%2010%EA%B0%9C%EC%9E%85&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
8,benof-softbar-peanutbutter,소프트바 (피넛버터),https://www.coupang.com/vp/products/7559019596?itemId=19910287680&vendorItemId=92497994296&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94+%28%ED%94%BC%EB%84%9B%EB%B2%84%ED%84%B0%29&searchId=023d571b686990&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyl5f4c,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%ED%94%BC%EB%84%9B%EB%B2%84%ED%84%B0%2010%EA%B0%9C%EC%9E%85&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%ED%94%BC%EB%84%9B%EB%B2%84%ED%84%B0%2010&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
14,benof-softbar-roasted-sweetpotato,소프트바 (군고구마),https://www.coupang.com/vp/products/7576801766?itemId=19992845266&vendorItemId=92497986143&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94+%28%EA%B5%B0%EA%B3%A0%EA%B5%AC%EB%A7%88%29&searchId=8655e4c9678376&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyl5oud,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EA%B5%B0%EA%B3%A0%EA%B5%AC%EB%A7%88&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EC%86%8C%ED%94%84%ED%8A%B8%EB%B0%94%20%ED%94%84%EB%A1%9C%ED%8B%B4%EB%B0%94%20%EA%B5%B0%EA%B3%A0%EA%B5%AC%EB%A7%88%2010p%20600g%201%EA%B0%9C&vertical=search,https://benope.com/product/list_thumb.html?cate_no=46
