status,brand,slug,product_name,bcaa_mg,notes
spec_exists_but_unreadable,그린비아,greenbia-proteinmeal-active-choco-250,프로틴밀 액티브 (초콜릿),3800,
spec_exists_but_unreadable,그린비아,greenbia-proteinmeal-active-almond-walnut-250,프로틴밀 액티브 (아몬드&호두),3800,
spec_exists_but_unreadable,뉴케어,newcare-all-protein-plant-savory-250,올프로틴 식물성단백질 (고소한맛),2500,
spec_exists_but_unreadable,더단백,danbaek-water-apple-400,더단백 워터 프로틴 (청사과),0,
spec_exists_but_unreadable,더단백,danbaek-water-peach-250,더단백 워터 프로틴 (복숭아),755,
spec_exists_but_unreadable,더단백,danbaek-drink-doublechoco-350,더단백 드링크 (더블초코),8500,
spec_exists_but_unreadable,더단백,danbaek-water-grapefruit-400,더단백 워터 프로틴 (백자몽),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-latte-350,프로틴 드링크 (라떼),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-melon-350,프로틴 드링크 (메론),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-cacao-350,프로틴 드링크 (카카오),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-strawberry-350,프로틴 드링크 (스트로베리),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-banana-350,프로틴 드링크 (바나나),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-cookie-cream-350,프로틴 드링크 (쿠키앤크림),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-perfect-grain-350,프로틴 드링크 퍼펙트 (그레인),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-perfect-choco-350,프로틴 드링크 퍼펙트 (초코),0,
spec_exists_but_unreadable,랩노쉬,labnosh-protein-perfect-banana-350,프로틴 드링크 퍼펙트 (바나나),0,
spec_missing,롯데웰푸드,pasteur-easyprotein-cereal-250,이지프로틴 (시리얼),0,
spec_exists_but_unreadable,롯데웰푸드,pasteur-easyprotein-lowsugar-choco-250,이지프로틴 저당 (초콜릿),0,
spec_missing,마이밀,mymil-furotein-goguma-250,퓨로틴 (고구마맛),2500,
spec_exists_but_unreadable,마이밀,mymil-furotein-choco-250,퓨로틴 (초코맛),2500,
spec_exists_but_unreadable,마이밀,mymil-furotein-gosohan-250,퓨로틴 (고소한맛),2500,
spec_exists_but_unreadable,마이밀,mymil-newprotein-original-190,뉴프로틴 (오리지널),1000,
spec_exists_but_unreadable,마이밀,mymil-newprotein-deepchoco-190,뉴프로틴 (딥초코),1000,
spec_exists_but_unreadable,마이밀,mymil-newprotein-goatmilk-190,뉴프로틴 (산양유),2000,
spec_exists_but_unreadable,마이밀,mymil-newprotein-banana-190,뉴프로틴 (바나나),1000,
