 No,slug,productName,coupangUrl,naverUrl,officialUrl
84,yonsei-severance-a2-protein-original-190,세브란스 A2 프로틴 (오리지널),https://www.coupang.com/vp/products/8219572352?itemId=23620654968&vendorItemId=91347511123&pickType=COU_PICK&q=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4+A2+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%29&searchId=70bad8157861679&sourceType=search&itemsCount=36&searchRank=3&rank=3&traceId=mmyahz2y,https://search.shopping.naver.com/search/all?where=all&frm=NVSCTAB&query=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4+A2+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%29,https://yonseidairy.com/goods/goods_list.php?cateCd=022013
67,yonsei-severance-a2-protein-coffee-190,세브란스 A2 프로틴 (커피),https://www.coupang.com/vp/products/9416923270?itemId=27984113701&vendorItemId=94941830748&q=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4+A2+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%EC%BB%A4%ED%94%BC%29&searchId=07fe23292002822&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyaj0cd,https://search.shopping.naver.com/search/all?query=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4%20A2%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%BB%A4%ED%94%BC)&prevQuery=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4%20A2%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(zjvl)&vertical=search,https://yonseidairy.com/goods/goods_list.php?cateCd=022013
66,yonsei-severance-a2-protein-choco-190,세브란스 A2 프로틴 (초콜릿),https://www.coupang.com/vp/products/9414106924?itemId=27991913848&vendorItemId=94949505337&q=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4+A2+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%EC%B4%88%EC%BD%9C%EB%A6%BF%29&searchId=eed25e5c3533852&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyajeip,https://search.shopping.naver.com/search/all?query=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4%20A2%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%B4%88%EC%BD%9C%EB%A6%BF)&prevQuery=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4%20A2%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%BB%A4%ED%94%BC)&vertical=search,https://yonseidairy.com/goods/goods_list.php?cateCd=022013
21,ultive-vegan-protein-choco-250,비건 프로틴 (초코맛),https://www.coupang.com/vp/products/9212396109?itemId=27567890612&vendorItemId=94531809805&q=%EC%96%BC%ED%8B%B0%EB%B8%8C+%EB%B9%84%EA%B1%B4+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%EC%B4%88%EC%BD%94%EB%A7%9B%29&searchId=98cea1dc4741987&sourceType=search&itemsCount=36&searchRank=1&rank=1&traceId=mmyajz9k,https://search.shopping.naver.com/search/all?query=%EC%96%BC%ED%8B%B0%EB%B8%8C%20%EB%B9%84%EA%B1%B4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%B4%88%EC%BD%94%EB%A7%9B)&prevQuery=%EC%84%B8%EB%B8%8C%EB%9E%80%EC%8A%A4%20A2%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%B4%88%EC%BD%9C%EB%A6%BF)&vertical=search,https://www.cjthemarket.com/pc/search?beforeAction=%2Fpc%2Fsearch%3Fwid1%3Dgnb_search&sort=RANK&collection=ALL&range=A&searchAction=D&query=%EC%96%BC%ED%8B%B0%EB%B8%8C
20,ultive-vegan-protein-banana-250,비건 프로틴 (바나나맛),https://www.coupang.com/vp/products/9224017158?itemId=27466965068&vendorItemId=94531809768&q=%EC%96%BC%ED%8B%B0%EB%B8%8C+%EB%B9%84%EA%B1%B4+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%EB%B0%94%EB%82%98%EB%82%98%EB%A7%9B%29&searchId=f2f52d668505938&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyakm2i,https://search.shopping.naver.com/search/all?query=%EC%96%BC%ED%8B%B0%EB%B8%8C%20%EB%B9%84%EA%B1%B4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EB%B0%94%EB%82%98%EB%82%98%EB%A7%9B)&prevQuery=%EC%96%BC%ED%8B%B0%EB%B8%8C%20%EB%B9%84%EA%B1%B4%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%B4%88%EC%BD%94%EB%A7%9B)&vertical=search,https://www.cjthemarket.com/pc/search?beforeAction=%2Fpc%2Fsearch%3Fwid1%3Dgnb_search&sort=RANK&collection=ALL&range=A&searchAction=D&query=%EC%96%BC%ED%8B%B0%EB%B8%8C
19,ultive-protein-royalmilktea-250,프로틴 (로얄밀크티향),https://www.coupang.com/vp/products/9033900311?itemId=26500309570&vendorItemId=93475066052&pickType=COU_PICK&q=%EC%96%BC%ED%8B%B0%EB%B8%8C+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%EB%A1%9C%EC%96%84%EB%B0%80%ED%81%AC%ED%8B%B0%ED%96%A5%29&searchId=fc9bd4b46898020&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyammp8,https://search.shopping.naver.com/search/all?query=%EC%96%BC%ED%8B%B0%EB%B8%8C%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EB%A1%9C%EC%96%84%EB%B0%80%ED%81%AC%ED%8B%B0%ED%96%A5)&prevQuery=%EC%96%BC%ED%8B%B0%EB%B8%8C%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EB%A1%9C%EC%97%B4%EB%B0%80%ED%81%AC%ED%8B%B0%ED%96%A5)&vertical=search,https://www.cjthemarket.com/pc/search?beforeAction=%2Fpc%2Fsearch%3Fwid1%3Dgnb_search&sort=RANK&collection=ALL&range=A&searchAction=D&query=%EC%96%BC%ED%8B%B0%EB%B8%8C
17,ultive-protein-rice-250,프로틴 (햇반),https://www.coupang.com/vp/products/7991437936?itemId=22393032584&vendorItemId=91176568518&pickType=COU_PICK&q=%EC%96%BC%ED%8B%B0%EB%B8%8C+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%ED%96%87%EB%B0%98%29&searchId=94fd22017590122&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyan28i,https://search.shopping.naver.com/search/all?query=%EC%96%BC%ED%8B%B0%EB%B8%8C%ED%94%84%EB%A1%9C%ED%8B%B4%20(%ED%96%87%EB%B0%98)&prevQuery=%EC%96%BC%ED%8B%B0%EB%B8%8C%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EB%A1%9C%EC%96%84%EB%B0%80%ED%81%AC%ED%8B%B0%ED%96%A5)&vertical=search,https://www.cjthemarket.com/pc/search?beforeAction=%2Fpc%2Fsearch%3Fwid1%3Dgnb_search&sort=RANK&collection=ALL&range=A&searchAction=D&query=%EC%96%BC%ED%8B%B0%EB%B8%8C
18,ultive-protein-pistachio-250,프로틴 (피스타치오맛),https://www.coupang.com/vp/products/9033900314?itemId=26500309574&vendorItemId=93475066059&pickType=COU_PICK&q=%EC%96%BC%ED%8B%B0%EB%B8%8C+%ED%94%84%EB%A1%9C%ED%8B%B4+%28%ED%94%BC%EC%8A%A4%ED%83%80%EC%B9%98%EC%98%A4%29&searchId=41ebc6e07488036&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyao5nw,https://search.shopping.naver.com/search/all?query=%EC%96%BC%ED%8B%B0%EB%B8%8C%ED%94%84%EB%A1%9C%ED%8B%B4%20(%ED%94%BC%EC%8A%A4%ED%83%80%EC%B9%98%EC%98%A4)&prevQuery=%EC%96%BC%ED%8B%B0%EB%B8%8C%ED%94%84%EB%A1%9C%ED%8B%B4%20(%ED%96%87%EB%B0%98)&vertical=search,https://www.cjthemarket.com/pc/search?beforeAction=%2Fpc%2Fsearch%3Fwid1%3Dgnb_search&sort=RANK&collection=ALL&range=A&searchAction=D&query=%EC%96%BC%ED%8B%B0%EB%B8%8C
16,ultive-protein-chestnut-250,프로틴 (맛밤),https://www.coupang.com/vp/products/8005946804?itemId=24153496784&vendorItemId=91172179538&q=얼티브%20프로틴%20(맛밤)&searchId=39706cdb6779340&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyaotxk,https://search.shopping.naver.com/search/all?query=%EC%96%BC%ED%8B%B0%EB%B8%8C%20%EB%B0%A4%EB%A7%9B&prevQuery=%EC%96%BC%ED%8B%B0%EB%B8%8C%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EB%A7%9B%EB%B0%A4)&vertical=search,https://www.cjthemarket.com/pc/search?beforeAction=%2Fpc%2Fsearch%3Fwid1%3Dgnb_search&sort=RANK&collection=ALL&range=A&searchAction=D&query=%EC%96%BC%ED%8B%B0%EB%B8%8C
32,takefit-pro-shinemuscato-500,테이크핏 프로 (샤인머스캣맛),https://www.coupang.com/vp/products/9165090846?itemId=27002826047&searchId=b8268dcc77be4a51a29f1f5ec8d60d1b&sourceType=brandstore_sdp_atf_topbadge-products&storeId=31837&subSourceType=brandstore_sdp_atf_topbadge-products&vendorId=A00106645&vendorItemId=93971532860,https://search.shopping.naver.com/search/all?query=%ED%85%8C%EC%9D%B4%ED%81%AC%ED%95%8F%20%ED%94%84%EB%A1%9C%20(%EC%83%A4%EC%9D%B8%EB%A8%B8%EC%8A%A4%EC%BA%A3%EB%A7%9B)&prevQuery=%EC%96%BC%ED%8B%B0%EB%B8%8C%20%EB%B0%A4%EB%A7%9B&vertical=search,https://brand.naver.com/namyang/category/86594242565a4d4d8375f43f388b275d?cp=1
