product_id,product_name,brand,category,current_url,new_proteinlab_url,affiliate_link_id,channel_id,status,notes
7eleven-junghoo-choco-protein-330,이정후 프로틴 (초콜릿),세븐일레븐,drink,,,,proteinlab,PENDING,No existing Coupang URL. Enter a newly issued ProteinLab link.
7eleven-junghoo-vanilla-protein-330,이정후 프로틴 (바닐라),세븐일레븐,drink,,,,proteinlab,PENDING,No existing Coupang URL. Enter a newly issued ProteinLab link.
allthebetter-proteinshake-banana-latte-45,단백질 쉐이크 (바나나라떼),올더배러,shake,https://link.coupang.com/a/fg0BbQBbgH,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
allthebetter-proteinshake-corn-latte-45,단백질 쉐이크 (옥수수라떼),올더배러,shake,https://link.coupang.com/a/fg0BJJmVau,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
allthebetter-proteinshake-low-sugar-17grain-misugaru-45,단백질 쉐이크 (저당 17곡 미숫가루),올더배러,shake,https://link.coupang.com/a/fg0Crxirts,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
allthebetter-proteinshake-low-sugar-black-soy-milk-45,단백질 쉐이크 (저당 검은콩두유),올더배러,shake,https://link.coupang.com/a/fg0C2A84LQ,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
allthebetter-proteinshake-low-sugar-chocolate-mousse-45,단백질 쉐이크 (저당 초콜릿무스),올더배러,shake,https://link.coupang.com/a/fg0D4qyMTc,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
allthebetter-proteinshake-multi-berry-smoothie-45,단백질 쉐이크 (멀티베리스무디),올더배러,shake,https://link.coupang.com/a/fg0ADIr4N2,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
baggio-shakeyam-choco-45,단백질 쉐이크얌 (초코),바지오,shake,https://link.coupang.com/a/fg0X4DHlGm,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
baggio-shakeyam-corn-45,단백질 쉐이크얌 (옥수수),바지오,shake,https://link.coupang.com/a/fg0110nXOu,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
baggio-shakeyam-grain-45,단백질 쉐이크얌 (곡물),바지오,shake,https://link.coupang.com/a/fg0YQwO30S,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
baggio-shakeyam-matcha-45,단백질 쉐이크얌 (말차),바지오,shake,https://link.coupang.com/a/fg0ZyVLFPo,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
baggio-shakeyam-matcha-salted-caramel-45,단백질 쉐이크얌 (말차 솔티드카라멜),바지오,shake,https://link.coupang.com/a/fg01oZvIke,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
baggio-shakeyam-matcha-strawberry-latte-45,단백질 쉐이크얌 (말차 딸기 라떼),바지오,shake,https://link.coupang.com/a/fg00CzQUVM,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
baggio-shakeyam-oolong-milk-tea-45,단백질 쉐이크얌 (우롱 밀크티),바지오,shake,https://link.coupang.com/a/fg02ItN2uy,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
balance-meal-protein-bar-matcha-choco-38,밸런스밀 프로틴바 (말차초코),CJ제일제당,bar,https://link.coupang.com/a/fg2GbhI0K4,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
balance-meal-protein-bar-peanutbutter-34,밸런스밀 프로틴바 (피넛버터),CJ제일제당,bar,https://link.coupang.com/a/fg2GVwHnQO,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-proteinbar-chunky-choco,단백질바 (청키초콜릿),베노프,bar,https://link.coupang.com/a/fg1Mvt8ki4,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-proteinbar-truffle-peanutbutter-choco,단백질바 (트러플피넛버터초콜릿),베노프,bar,https://link.coupang.com/a/fg1M1Cq2VM,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-proteinshake-chocolate-cereal-40,단백질 쉐이크 (초콜릿시리얼),베노프,shake,https://link.coupang.com/a/fg0H8EgJXM,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-proteinshake-misugaru-cereal-40,단백질 쉐이크 (미숫가루시리얼),베노프,shake,https://link.coupang.com/a/fg0zeZqDPU,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-berry-cheesecake,소프트바 (베리베리치즈케이크),베노프,bar,https://link.coupang.com/a/fg1SyycJgq,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-black-sesame,소프트바 (흑임자),베노프,bar,https://link.coupang.com/a/fg1QWzVZDw,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-cacao,소프트바 (카카오),베노프,bar,https://link.coupang.com/a/fg1P38dl24,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-chocolate-caramel,소프트바 (초콜릿카라멜),베노프,bar,https://link.coupang.com/a/fg1PrFQPq8,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-cookie-cream,소프트바 (쿠키앤크림),베노프,bar,https://link.coupang.com/a/fg1OWqXsOq,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-injeolmi,소프트바 (인절미),베노프,bar,https://link.coupang.com/a/fg1RwhLmqO,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-peanutbutter,소프트바 (피넛버터),베노프,bar,https://link.coupang.com/a/fg1OnW0gSa,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
benof-softbar-roasted-sweetpotato,소프트바 (군고구마),베노프,bar,https://link.coupang.com/a/fg1RZCYw4i,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
bsn-protein-crisp-peanut-butter-crunch,프로틴 크리스프 단백질바 (피넛 버터 크런치),비에스엔,bar,https://link.coupang.com/a/fg1Ugh9grc,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
bsn-protein-crisp-salted-toffee-pretzel,프로틴 크리스프 단백질바 (솔티드 토피 프레첼),비에스엔,bar,https://link.coupang.com/a/fg1UR5U9rU,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
calobye-daily-nuts-proteinbar,하루견과 단백질바,칼로바이,bar,https://link.coupang.com/a/fg2udlaKLQ,,,proteinlab,PENDING,Existing Coupang URL is not confirmed as ProteinLab-only. Enter a newly issued ProteinLab link.
