priority_tier,priority_score,product_id,product_slug_label,product_name,brand,category,protein_g,current_url,new_proteinlab_url,affiliate_link_id,channel_id,status,priority_reason,recommended_action,notes
P1,127,labnosh-protein-max-choco-400,Labnosh Protein Max Choco 400,프로틴 드링크 맥스 (초코),랩노쉬,drink,52,https://link.coupang.com/a/e8MFh5asjA,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,127,newcare-all-protein-41g,Newcare All Protein 41G,올프로틴 41g (초코맛),뉴케어,drink,41,https://link.coupang.com/a/e8NyraGXKK,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,127,takefit-monster-goso-350,Takefit Monster Goso 350,테이크핏 몬스터 (고소한맛),테이크핏,drink,45,https://link.coupang.com/a/e8NKbDFBEy,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,112,newcare-all-protein-choco-245,Newcare All Protein Choco 245,올프로틴 (초콜릿),뉴케어,drink,25,https://link.coupang.com/a/e8MJ6pkgtV,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url;high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,97,hymune-balance-active-deepchoco-250,Hymune Balance Active Deepchoco 250,프로틴 밸런스 액티브 (딥초코),하이뮨,drink,20,https://link.coupang.com/a/e8MW0aWHVA,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,97,sellex-profit-milk-vanilla-250,Sellex Profit Milk Vanilla 250,프로핏 (밀크 바닐라),셀렉스,drink,20,https://link.coupang.com/a/e8MRblZJls,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,97,takefit-max-choco-250,Takefit Max Choco 250,테이크핏 맥스 (초코맛),테이크핏,drink,24,https://link.coupang.com/a/e8Nv18aYQS,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,97,takefit-max-goso-250,Takefit Max Goso 250,테이크핏 맥스 (고소한맛),테이크핏,drink,24,https://link.coupang.com/a/e8Nve93CDY,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,95,itthefit-proteinshake-double-choco-40,Itthefit Proteinshake Double Choco 40,단백질 쉐이크 (더블초코),잇더핏,shake,21.3,https://link.coupang.com/a/fgZ6z4vTJA,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P1,95,proteone-proteinshake-choco-40,Proteone Proteinshake Choco 40,단백질 쉐이크 (초코맛),프로티원,shake,23,https://link.coupang.com/a/fgZ1KR8TrE,,,proteinlab,PENDING,top_landing_connected;has_existing_coupang_url,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,danbaek-drink-darkchoco-330,Danbaek Drink Darkchoco 330,더단백 드링크 (다크초코),더단백,drink,35,https://link.coupang.com/a/e8NIKcgHPE,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,danbaek-drink-doublechoco-350,Danbaek Drink Doublechoco 350,더단백 드링크 (더블초코),더단백,drink,40,https://link.coupang.com/a/e8NFQWBHjM,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,dryou-protein-40g-choco-350,Dryou Protein 40G Choco 350,프로 단백질 드링크 40g (초콜릿),닥터유,drink,40,https://link.coupang.com/a/e8N1PdSBm8,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,dryou-protein-40g-strawberry-350,Dryou Protein 40G Strawberry 350,프로 단백질 드링크 40g (딸기),닥터유,drink,40,https://link.coupang.com/a/e8NWXltLK8,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,hymune-ultra-400,Hymune Ultra 400,하이뮨 울트라,하이뮨,drink,49,https://link.coupang.com/a/e8M0byZ67g,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,labnosh-protein-max-strawberry-400,Labnosh Protein Max Strawberry 400,프로틴 드링크 맥스 (딸기),랩노쉬,drink,52,https://link.coupang.com/a/e8MF9zHF5o,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,newcare-all-protein-41g-coffee-350,Newcare All Protein 41G Coffee 350,올프로틴 41g (커피우유맛),뉴케어,drink,41,https://link.coupang.com/a/e8NCVm177s,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,newcare-all-protein-41g-savory-350,Newcare All Protein 41G Savory 350,올프로틴 41g (고소한맛),뉴케어,drink,41,https://link.coupang.com/a/e8NAL6Css8,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,sellex-profit-sports-wildchoco-350,Sellex Profit Sports Wildchoco 350,프로핏 스포츠 와일드 초코,셀렉스,drink,45,https://link.coupang.com/a/e8NhOmVFuK,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,takefit-extreme-450,Takefit Extreme 450,테이크핏 익스트림,테이크핏,drink,60,https://link.coupang.com/a/e8OpALPsvA,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,67,takefit-monster-chocobanana-350,Takefit Monster Chocobanana 350,테이크핏 몬스터 (초코바나나),테이크핏,drink,45,https://link.coupang.com/a/e8NK1mDFds,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-proteinbar-chunky-choco,Benof Proteinbar Chunky Choco,단백질바 (청키초콜릿),베노프,bar,20,https://link.coupang.com/a/fg1Mvt8ki4,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-proteinbar-truffle-peanutbutter-choco,Benof Proteinbar Truffle Peanutbutter Choco,단백질바 (트러플피넛버터초콜릿),베노프,bar,20,https://link.coupang.com/a/fg1M1Cq2VM,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-berry-cheesecake,Benof Softbar Berry Cheesecake,소프트바 (베리베리치즈케이크),베노프,bar,20,https://link.coupang.com/a/fg1SyycJgq,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-black-sesame,Benof Softbar Black Sesame,소프트바 (흑임자),베노프,bar,20,https://link.coupang.com/a/fg1QWzVZDw,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-cacao,Benof Softbar Cacao,소프트바 (카카오),베노프,bar,20,https://link.coupang.com/a/fg1P38dl24,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-chocolate-caramel,Benof Softbar Chocolate Caramel,소프트바 (초콜릿카라멜),베노프,bar,20,https://link.coupang.com/a/fg1PrFQPq8,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-cookie-cream,Benof Softbar Cookie Cream,소프트바 (쿠키앤크림),베노프,bar,20,https://link.coupang.com/a/fg1OWqXsOq,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-injeolmi,Benof Softbar Injeolmi,소프트바 (인절미),베노프,bar,20,https://link.coupang.com/a/fg1RwhLmqO,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-peanutbutter,Benof Softbar Peanutbutter,소프트바 (피넛버터),베노프,bar,20,https://link.coupang.com/a/fg1OnW0gSa,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,benof-softbar-roasted-sweetpotato,Benof Softbar Roasted Sweetpotato,소프트바 (군고구마),베노프,bar,20,https://link.coupang.com/a/fg1RZCYw4i,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
P2,63,bsn-protein-crisp-peanut-butter-crunch,Bsn Protein Crisp Peanut Butter Crunch,프로틴 크리스프 단백질바 (피넛 버터 크런치),비에스엔,bar,20,https://link.coupang.com/a/fg1Ugh9grc,,,proteinlab,PENDING,has_existing_coupang_url;ultra_high_protein,Issue a new ProteinLab-only Coupang Partners link and paste it here.,
