category,categoryLabel,source,No,slug,productName,brand,protein,calories,sugar,currentCoupangUrl,newCoupangUrl,currentNaverUrl,newNaverUrl,currentOfficialUrl,newOfficialUrl,status,memo
drink,RTD drink,link-template,1,newcare-all-protein-choco-245,올프로틴 (초콜릿),뉴케어,25,135,0,https://www.coupang.com/vp/products/8391141735?itemId=24971392807&searchId=16aa1b389af34a27b66719ea35c7ed8e&sourceType=brandstore_sdp_atf_topbadge-carousel&storeId=843&subSourceType=brandstore_sdp_atf_topbadge-carousel&vendorId=A00176728&vendorItemId=91994723764,,https://search.shopping.naver.com/search/all?query=%EB%89%B4%EC%BC%80%EC%96%B4%20%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%B4%88%EC%BD%94%EB%A7%9B%20245%20mL%2024%ED%8C%A9%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%9D%8C%EB%A3%8C&prevQuery=%5B%EB%8B%A8%EB%B0%B1%EC%A7%88%2025g%5D%20%EB%89%B4%EC%BC%80%EC%96%B4%20%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%B4%88%EC%BD%94%EB%A7%9B%20245%20mL%2024%ED%8C%A9%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%9D%8C%EB%A3%8C&vertical=search,,https://www.wellife.co.kr/categories/index/101003000000,,,
drink,RTD drink,link-template,2,newcare-all-protein-banana-245,올프로틴 (바나나),뉴케어,25,135,0,https://www.coupang.com/vp/products/8391213192?itemId=24256029913&searchId=16aa1b389af34a27b66719ea35c7ed8e&sourceType=brandstore_sdp_atf_topbadge-carousel&storeId=843&subSourceType=brandstore_sdp_atf_topbadge-carousel&vendorId=A00176728&vendorItemId=91994723751,,https://search.shopping.naver.com/search/all?query=%EB%89%B4%EC%BC%80%EC%96%B4%20%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%2025g%20%EB%B0%94%EB%82%98%EB%82%98&prevQuery=%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%2025g%20%EB%B0%94%EB%82%98%EB%82%98&vertical=search,,https://www.wellife.co.kr/categories/index/101003000000,,,
drink,RTD drink,link-template,3,newcare-all-protein-savory-245,올프로틴 (고소한맛),뉴케어,25,135,0,https://www.coupang.com/vp/products/8391180879?itemId=24963749598&searchId=16aa1b389af34a27b66719ea35c7ed8e&sourceType=brandstore_sdp_atf_topbadge-carousel&storeId=843&subSourceType=brandstore_sdp_atf_topbadge-carousel&vendorId=A00176728&vendorItemId=91994723799,,https://search.shopping.naver.com/search/all?query=%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%2025g%20%EA%B3%A0%EC%86%8C%ED%95%9C%EB%A7%9B&prevQuery=%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%9B%8C%ED%84%B0%20(%EC%82%AC%EA%B3%BC)&vertical=search,,https://www.wellife.co.kr/categories/index/101003000000,,,
drink,RTD drink,link-template,4,newcare-all-protein-plant-savory-250,올프로틴 식물성단백질 (고소한맛),뉴케어,20,130,0,https://www.coupang.com/vp/products/9413959502?itemId=27972525769&searchId=62edbe7d2b4548b395c751a4e74230a4&sourceType=brandstore_sdp_atf_topbadge-carousel&storeId=843&subSourceType=brandstore_sdp_atf_topbadge-carousel&vendorId=A00176728&vendorItemId=94930425876,,https://search.shopping.naver.com/search/all?query=%EB%89%B4%EC%BC%80%EC%96%B4%20%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%8B%9D%EB%AC%BC%EC%84%B1%EB%8B%A8%EB%B0%B1%EC%A7%8820g%20%EA%B3%A0%EC%86%8C%ED%95%9C%EB%A7%9B%20250ml%2024%EC%9E%85%201BOX&prevQuery=%EB%89%B4%EC%BC%80%EC%96%B4%20%EC%98%AC%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%8B%9D%EB%AC%BC%EC%84%B1%EB%8B%A8%EB%B0%B1%EC%A7%88%20(%EA%B3%A0%EC%86%8C%ED%95%9C%EB%A7%9B)&vertical=search,,https://www.wellife.co.kr/categories/index/101003000000,,,
drink,RTD drink,link-template,5,danbaek-drink-coffee-250,더단백 드링크 (커피),더단백,20,110,0,https://www.coupang.com/vp/products/7411107327?itemId=19202399565&searchId=820400aef6f542c0960ee8fa489b92d6&sourceType=brandstore_sdp_atf_topbadge-carousel&storeId=113103&subSourceType=brandstore_sdp_atf_topbadge-carousel&vendorId=A00003172&vendorItemId=81135143112,,https://search.shopping.naver.com/search/all?query=%EB%8D%94%EB%8B%A8%EB%B0%B1%20%EB%93%9C%EB%A7%81%ED%81%AC%20(%EC%BB%A4%ED%94%BC)&prevQuery=%EB%8D%94%EB%8B%A8%EB%B0%B1%20%EB%93%9C%EB%A7%81%ED%81%AC%20(%EB%8B%A4%ED%81%AC%EC%B4%88%EC%BD%94)&vertical=search,,https://brand.naver.com/binggrae/category/54e40c847f15417fae9351c9478ee909?cp=1,,,
drink,RTD drink,link-template,6,sellex-profit-milk-vanilla-250,프로핏 (밀크 바닐라),셀렉스,20,105,0,https://www.coupang.com/vp/products/8415619462?itemId=25281895756&searchId=786877fd77d1411392ae76a2abd7a027&sourceType=brandstore_sdp_atf_topbadge-products&storeId=1235&subSourceType=brandstore_sdp_atf_topbadge-products&vendorId=A00575434&vendorItemId=86983543109,,https://search.shopping.naver.com/search/all?query=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20(%EB%B0%80%ED%81%AC%20%EB%B0%94%EB%8B%90%EB%9D%BC)&prevQuery=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20(%EB%AA%A8%EC%B9%B4%20%EC%B4%88%EC%BD%9C%EB%A6%BF)&vertical=search,,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1,,,
drink,RTD drink,link-template,7,sellex-profit-mocha-chocolate-250,프로핏 (모카 초콜릿),셀렉스,20,105,0,https://www.coupang.com/vp/products/7553257510?itemId=19883077375&searchId=786877fd77d1411392ae76a2abd7a027&sourceType=brandstore_sdp_atf_topbadge-products&storeId=1235&subSourceType=brandstore_sdp_atf_topbadge-products&vendorId=A00575434&vendorItemId=86983543096,,https://search.shopping.naver.com/search/all?query=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20(%EB%AA%A8%EC%B9%B4%20%EC%B4%88%EC%BD%9C%EB%A6%BF)&prevQuery=%EB%A7%A4%EC%9D%BC%EC%9C%A0%EC%97%85%20%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EC%9B%A8%EC%9D%B4%ED%94%84%EB%A1%9C%ED%8B%B4%20%EB%B3%B5%EC%88%AD%EC%95%84%20%EC%95%84%EC%9D%B4%EC%8A%A4%ED%8B%B0&vertical=search,,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1,,,
drink,RTD drink,link-template,8,sellex-profit-banana-250,프로핏 (바나나),셀렉스,20,135,0,https://www.coupang.com/vp/products/8397547499?itemId=27535194707&vendorItemId=94499748277&q=%EC%85%80%EB%A0%89%EC%8A%A4+%ED%94%84%EB%A1%9C%ED%95%8F+%28%EB%B0%94%EB%82%98%EB%82%98%29&searchId=7f2d1d6d7659167&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mmyb2k0y,,https://search.shopping.naver.com/search/all?query=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EB%B0%94%EB%82%98%EB%82%98%20%EC%A0%9C%EB%A1%9C%EC%8A%88%EA%B0%80%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%9D%8C%EB%A3%8C&prevQuery=%EC%85%80%EB%A0%89%EC%8A%A4%20%ED%94%84%EB%A1%9C%ED%95%8F%20%EB%B0%94%EB%82%98%EB%82%98%20%EC%A0%9C%EB%A1%9C%EC%8A%88%EA%B0%80%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%9D%8C%EB%A3%8C%20250ml%20x%209%EA%B0%9C&vertical=search,,https://brand.naver.com/selex/category/85709825a6ff41b7bfdb4b6dbd205dd0?cp=1,,,
drink,RTD drink,link-template,9,danbaek-water-apple-400,더단백 워터 프로틴 (청사과),더단백,25,100,0,https://www.coupang.com/vp/products/8687843224?itemId=25273311624&vendorItemId=92268990800,,https://search.shopping.naver.com/search/all?query=%EB%B9%99%EA%B7%B8%EB%A0%88%20%EB%8D%94%EB%8B%A8%EB%B0%B1%20%EC%9B%8C%ED%84%B0%ED%94%84%EB%A1%9C%ED%8B%B4%20%EC%B2%AD%EC%82%AC%EA%B3%BC%20%2C%20400ml%2C%2024%EA%B0%9C&prevQuery=%EB%8D%94%EB%8B%A8%EB%B0%B1%20%EC%9B%8C%ED%84%B0%20%ED%94%84%EB%A1%9C%ED%8B%B4%20(%EC%B2%AD%EC%82%AC%EA%B3%BC)&vertical=search,,https://brand.naver.com/binggrae/category/54e40c847f15417fae9351c9478ee909?cp=1,,,
drink,RTD drink,link-template,10,hymune-balance-active-milkshake-deepchoco-250,프로틴 밸런스 액티브 (밀크쉐이크),하이뮨,20,104,0,https://www.coupang.com/vp/products/8763434526?itemId=25609711976&vendorItemId=94052440114&pickType=COU_PICK&sourceType=srp_product_ads&clickEventId=3a5ecbc0-240a-11f1-b23d-6b7b6ec3d0cb&korePlacement=15&koreSubPlacement=1&clickEventId=3a5ecbc0-240a-11f1-b23d-6b7b6ec3d0cb&korePlacement=15&koreSubPlacement=1&traceId=mmybm5y3,,https://search.shopping.naver.com/search/all?query=%ED%95%98%EC%9D%B4%EB%AE%A8%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EB%B0%B8%EB%9F%B0%EC%8A%A4%20%EC%95%A1%ED%8B%B0%EB%B8%8C%20(%EB%B0%80%ED%81%AC%EC%89%90%EC%9D%B4%ED%81%AC)&prevQuery=%ED%95%98%EC%9D%B4%EB%AE%A8%20%ED%94%84%EB%A1%9C%ED%8B%B4%20%EB%B0%B8%EB%9F%B0%EC%8A%A4%20%EC%95%A1%ED%8B%B0%EB%B8%8C%20(%EB%B0%A4%ED%8B%B0%EB%9D%BC%EB%AF%B8%EC%88%98)&vertical=search,,https://brand.naver.com/ildongfoodis/category/ca3a89b53d1f4aa3bce7f3b70bb97f31?cp=1,,,
