slug,productName,coupangUrl,naverUrl,officialUrl
allthebetter-proteinshake-banana-latte-45,단백질쉐이크 (바나나라떼),https://www.coupang.com/vp/products/9421057598?itemId=28000059064&vendorItemId=94957576338&q=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B0%94%EB%82%98%EB%82%98%EB%9D%BC%EB%96%BC)&searchId=633c4e9a1803689&sourceType=search&itemsCount=36&searchRank=3&rank=3&traceId=mn2svnvt,https://search.shopping.naver.com/search/all?where=all&frm=NVSCTAB&query=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC+%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC+%28%EB%B0%94%EB%82%98%EB%82%98%EB%9D%BC%EB%96%BC%29,https://m.oliveyoung.co.kr/m/mtn/brand/allthebetter
allthebetter-proteinshake-corn-latte-45,단백질쉐이크 (옥수수라떼),https://www.coupang.com/vp/products/9421067683?itemId=28000091334&vendorItemId=94957607955&q=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC+%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC+%28%EC%98%A5%EC%88%98%EC%88%98%EB%9D%BC%EB%96%BC%29&searchId=fb37fd711800977&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mn2svdiv,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%98%A5%EC%88%98%EC%88%98%EB%9D%BC%EB%96%BC)&prevQuery=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%B0%94%EB%82%98%EB%82%98%EB%9D%BC%EB%96%BC)&vertical=search,https://m.oliveyoung.co.kr/m/mtn/brand/allthebetter
allthebetter-proteinshake-low-sugar-17grain-misugaru-45,단백질쉐이크 (저당 17곡 미숫가루),https://www.coupang.com/vp/products/9355156491?itemId=27903183070&vendorItemId=94861992105&q=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%2017%EA%B3%A1%20%EB%AF%B8%EC%88%AB%EA%B0%80%EB%A3%A8)&searchId=527707b71775249&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mn2sv3ge,https://search.shopping.naver.com/search/all?where=all&frm=NVSCTAB&query=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC+%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC+%28%EC%A0%80%EB%8B%B9+17%EA%B3%A1+%EB%AF%B8%EC%88%AB%EA%B0%80%EB%A3%A8%29,https://m.oliveyoung.co.kr/m/mtn/brand/allthebetter
allthebetter-proteinshake-low-sugar-black-soy-milk-45,단백질쉐이크 (저당 검은콩두유),https://www.coupang.com/vp/products/9371946262?itemId=28000012433&vendorItemId=94957530133&q=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%20%EA%B2%80%EC%9D%80%EC%BD%A9%EB%91%90%EC%9C%A0)&searchId=4274071e1771097&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mn2sut82,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%20%EA%B2%80%EC%9D%80%EC%BD%A9%EB%91%90%EC%9C%A0)&prevQuery=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%2017%EA%B3%A1%20%EB%AF%B8%EC%88%AB%EA%B0%80%EB%A3%A8)&vertical=search,https://m.oliveyoung.co.kr/m/mtn/brand/allthebetter
allthebetter-proteinshake-low-sugar-chocolate-mousse-45,단백질쉐이크 (저당 초콜릿무스),https://www.coupang.com/vp/products/9355146573?itemId=27903100394&vendorItemId=94861909836&q=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%20%EC%B4%88%EC%BD%9C%EB%A6%BF%EB%AC%B4%EC%8A%A4)&searchId=2a4bc3791768360&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mn2sueka,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%20%EC%B4%88%EC%BD%9C%EB%A6%BF%EB%AC%B4%EC%8A%A4)&prevQuery=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%20%EA%B2%80%EC%9D%80%EC%BD%A9%EB%91%90%EC%9C%A0)&vertical=search,https://m.oliveyoung.co.kr/m/mtn/brand/allthebetter
allthebetter-proteinshake-multi-berry-smoothie-45,단백질쉐이크 (멀티베리스무디),https://www.coupang.com/vp/products/9369524692?itemId=27903241962&vendorItemId=94862049721&q=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC+%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC+%28%EB%A9%80%ED%8B%B0%EB%B2%A0%EB%A6%AC%EC%8A%A4%EB%AC%B4%EB%94%94%29&searchId=2c10d0de1987010&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mn2su4ai,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%A9%80%ED%8B%B0%EB%B2%A0%EB%A6%AC%EC%8A%A4%EB%AC%B4%EB%94%94)&prevQuery=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%A0%80%EB%8B%B9%20%EC%B4%88%EC%BD%9C%EB%A6%BF%EB%AC%B4%EC%8A%A4)&vertical=search,https://m.oliveyoung.co.kr/m/mtn/brand/allthebetter
benof-proteinshake-chocolate-cereal-40,단백질쉐이크 (초콜릿시리얼),https://www.coupang.com/vp/products/8621045043?itemId=26906922809&vendorItemId=93876333992&q=%EB%B2%A0%EB%85%B8%ED%94%84+%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC+%28%EC%B4%88%EC%BD%9C%EB%A6%BF%EC%8B%9C%EB%A6%AC%EC%96%BC%29&searchId=bcae9d3a1757436&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mn2stfxh,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%B4%88%EC%BD%9C%EB%A6%BF%EC%8B%9C%EB%A6%AC%EC%96%BC)&prevQuery=%EC%98%AC%EB%8D%94%EB%B2%A0%EB%9F%AC%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%A9%80%ED%8B%B0%EB%B2%A0%EB%A6%AC%EC%8A%A4%EB%AC%B4%EB%94%94)&vertical=search,https://benope.com/product/list_thumb.html?cate_no=71
benof-proteinshake-misugaru-cereal-40,단백질쉐이크 (미숫가루시리얼),https://www.coupang.com/vp/products/8621044632?itemId=25011448548&vendorItemId=92016388064&q=%EB%B2%A0%EB%85%B8%ED%94%84%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%AF%B8%EC%88%AB%EA%B0%80%EB%A3%A8%EC%8B%9C%EB%A6%AC%EC%96%BC)&searchId=1570390b1775492&sourceType=search&itemsCount=36&searchRank=6&rank=6&traceId=mn2st1mh,https://search.shopping.naver.com/search/all?query=%EB%B2%A0%EB%85%B8%ED%94%84%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%AF%B8%EC%88%AB%EA%B0%80%EB%A3%A8%EC%8B%9C%EB%A6%AC%EC%96%BC)&prevQuery=%EB%B2%A0%EB%85%B8%ED%94%84%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%B4%88%EC%BD%9C%EB%A6%BF%EC%8B%9C%EB%A6%AC%EC%96%BC)&vertical=search,https://benope.com/product/list_thumb.html?cate_no=71
danbaekhani-proteinshake-choco-40,단백질쉐이크 (초코),https://www.coupang.com/vp/products/9353858331?itemId=27750386391&vendorItemId=94711301652&q=%EB%8B%A8%EB%B0%B1%ED%95%98%EB%8B%88%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EC%B4%88%EC%BD%94)&searchId=30350d7c1772619&sourceType=search&itemsCount=36&searchRank=0&rank=0&traceId=mn2ssizy,,
danbaekhani-proteinshake-matcha-40,단백질쉐이크 (말차),https://www.coupang.com/vp/products/9351094819?itemId=27741270876&vendorItemId=94702359071&q=%EB%8B%A8%EB%B0%B1%ED%95%98%EB%8B%88%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%A7%90%EC%B0%A8)&searchId=c7c0ee131748857&sourceType=search&itemsCount=36&searchRank=2&rank=2&traceId=mn2ss95i,https://search.shopping.naver.com/search/all?query=%EB%8B%A8%EB%B0%B1%ED%95%98%EB%8B%88%20%EB%8B%A8%EB%B0%B1%EC%A7%88%EC%89%90%EC%9D%B4%ED%81%AC%20(%EB%A7%90%EC%B0%A8)&prevQuery=%EB%8B%A8%EB%B0%B1%ED%95%98%EB%8B%88%20%EB%8B%A8%EB%B0%B1%EC%A7%88%20%EC%89%90%EC%9D%B4%ED%81%AC&vertical=search,
